"drg","dc","pcl_min","pcl_max"
10533,1053,7,7
10534,1053,8,9
10540,1054,0,2
10541,1054,3,9
10560,1056,0,3
10561,1056,4,5
10562,1056,6,6
10563,1056,7,7
10564,1056,8,9
10590,1059,0,3
10591,1059,4,9
10600,1060,0,2
10601,1060,3,9
10610,1061,0,5
10611,1061,6,9
11019,1101,0,9
11020,1102,0,2
11021,1102,3,3
11022,1102,4,9
11030,1103,0,3
11031,1103,4,4
11032,1103,5,9
11040,1104,0,2
11041,1104,3,5
11042,1104,6,6
11043,1104,7,9
11050,1105,0,2
11051,1105,3,9
11060,1106,0,3
11061,1106,4,4
11062,1106,5,9
11070,1107,0,2
11071,1107,3,4
11072,1107,5,5
11073,1107,6,9
11080,1108,0,4
11081,1108,5,9
11090,1109,0,4
11091,1109,5,9
11100,1110,0,2
11101,1110,3,9
11110,1111,0,3
11111,1111,4,4
11112,1111,5,9
11120,1112,0,1
11121,1112,2,2
11122,1112,3,3
11123,1112,4,9
11159,1115,0,9
11169,1116,0,9
11179,1117,0,9
11189,1118,0,9
11500,1150,0,2
11501,1150,3,4
11502,1150,5,6
11503,1150,7,8
11504,1150,9,9
11510,1151,0,3
11511,1151,4,9
11520,1152,0,2
11521,1152,3,9
11530,1153,0,2
11531,1153,3,9
11540,1154,0,2
11541,1154,3,4
11542,1154,5,5
11543,1154,6,6
11544,1154,7,9
11550,1155,0,4
11551,1155,5,6
11552,1155,7,9
11560,1156,0,3
11561,1156,4,6
11562,1156,7,9
11570,1157,0,1
11571,1157,2,9
11580,1158,0,3
11581,1158,4,5
11582,1158,6,6
11583,1158,7,9
11590,1159,0,3
11591,1159,4,5
11592,1159,6,6
11593,1159,7,9
11600,1160,0,2
11601,1160,3,9
11620,1162,0,3
11621,1162,4,9
11630,1163,0,3
11631,1163,4,9
11640,1164,0,2
11641,1164,3,9
11650,1165,0,3
11651,1165,4,9
11660,1166,0,4
11661,1166,5,9
11670,1167,0,4
11671,1167,5,5
11672,1167,6,9
12019,1201,0,9
12020,1202,0,2
12021,1202,3,5
12022,1202,6,9
12030,1203,0,1
12031,1203,2,2
12032,1203,3,9
12040,1204,0,1
12041,1204,2,9
12059,1205,0,9
