"CODE,C,6","ORP,C,1","ORPTYPE,C,1","SEX,C,1","SITE,C,1","PROCGR,N,1,0","PROCLEV,N,2,0","PCPART,N,1,0","EXTLEV,N,1,0","EXTTYPE,C,1","MMDC,C,2","OMDCS,C,20","MOSPROC,N,1,0","MOSDC,C,4","MOSHIERAR,C,2","JSSITE,C,1","DESC,C,26","DRGUSE,L","MAYUN,L"
0221,Y,E,B,A,4,49,0,0,,01,"17,21",,,,,Ins/repl EVD,จริง,
0222,Y,E,B,A,4,49,0,0,,01,"17,21",,,,,Intracran vent shunt/anas,จริง,
0231,Y,E,B,A,4,48,0,2,>,01,,0,,,,Ventricl shunt-head/neck,จริง,
0232,Y,E,B,A,4,48,0,2,>,01,,0,,,,Ventri shunt-circula sys,จริง,
0233,Y,E,B,A,4,48,0,2,>,01,,0,,,,Ventricl shunt-thorax,จริง,
0234,Y,E,B,A,4,48,0,2,>,01,21,0,,,,Ventricl shunt-abdomen,จริง,
0235,Y,E,B,A,4,48,0,2,>,01,,0,,,,Ventri shunt-uninary sys,จริง,
0239,Y,E,B,A,4,48,0,2,>,01,,0,,,,Ventric shunt to extracran,จริง,
0241,P,U,B,-,0,0,0,0,,--,,0,,,,Irrigate/expl vent shunt,เท็จ,
0242,Y,E,B,-,3,38,0,0,,01,21,0,,,,Replace ventricle shunt,จริง,
0243,Y,E,B,-,3,36,0,0,,01,21,0,,,,Remove ventricle shunt,จริง,
0291,Y,E,B,-,5,54,0,2,>,01,,0,,,,Lysis cortical adhesion,จริง,
0292,Y,E,B,A,5,54,0,2,>,01,,0,,,,Brain repair,จริง,
0293,Y,E,B,-,5,50,0,0,,01,,0,,,,Imp/repl brain stim lead,จริง,
0294,Y,E,B,A,5,50,0,0,,01,08,0,,,,Insert/replac skull tong,จริง,
0295,P,U,B,-,0,0,0,0,,--,,0,,,,Remove skull tongs,เท็จ,
0296,P,U,B,-,0,0,0,0,,--,,0,,,,Insert sphenoid electrod,เท็จ,
0299,Y,E,B,-,4,48,0,0,,01,"08,17",0,,,,Skull & brain op NEC,จริง,
0301,Y,E,B,E,5,52,0,0,,01,,0,,,,Removal FB spinal canal,จริง,
0302,Y,E,B,E,5,58,0,0,,01,08,0,,,,Reopen laminectomy site,จริง,
0309,Y,E,B,E,4,44,0,0,,01,"08,17",0,,,,Spinal canal explor NEC,จริง,
031,Y,E,B,-,5,51,0,0,,01,08,0,,,,Intraspin nerve root div,จริง,
0321,Y,E,B,-,5,51,0,0,,01,,0,,,,Percutaneous chordotomy,จริง,
0329,Y,E,B,-,5,60,0,0,,01,17,0,,,,Other chordotomy,จริง,
0331,N,U,B,-,0,0,0,0,,--,,0,,,,Spinal tap,จริง,
0332,Y,E,B,-,5,50,0,0,,01,"08,17",0,,,,Spinal cord/meninges bx,จริง,
0339,Y,E,B,-,2,31,0,0,,01,08,0,,,,Other spinal dx proc,จริง,
034,Y,E,B,-,5,53,0,0,,01,"08,17",0,,,,Excis spinal cord lesion,จริง,
0351,Y,E,B,-,5,52,0,0,,01,,0,,,,Spine meningocele repair,จริง,
0352,Y,E,B,-,5,52,0,0,,01,,0,,,,Myelomeningocel repair,จริง,
0353,Y,E,B,E,4,45,0,0,,01,08,0,,,,Vertebral fx repair,จริง,
0359,Y,E,B,E,5,53,0,0,,01,"08,21",0,,,,Spinal struct repair NEC,จริง,
036,Y,E,B,-,4,44,0,0,,01,08,0,,,,Spinal cord adhesiolysis,จริง,
0371,Y,E,B,E,4,49,0,0,,01,,0,,,,Subarach-periton shunt,จริง,
0372,Y,E,B,E,4,49,0,0,,17,,0,,,,Subarach-ureteral shunt,จริง,
0379,Y,E,B,E,4,49,0,0,,01,,0,,,,Oth spinal thecal shunt,จริง,
038,P,U,B,-,0,0,0,0,,--,,0,,,,Destr inject-spine canal,เท็จ,
0390,P,U,B,-,0,0,0,0,,--,,0,,,,Insert spinal canal cath,เท็จ,
0391,P,U,B,-,0,0,0,0,,--,,0,,,,Anesth inject-spin canal,เท็จ,
0392,P,U,B,-,0,0,1,0,,--,,0,,,,Spinal canal inject NEC,จริง,
0393,Y,E,B,-,4,44,0,0,,01,,0,,,,Imp/repl spine stim lead,จริง,
0394,Y,E,B,-,3,32,0,0,,01,"08,21",0,,,,Removal spine stim lead,จริง,
0395,P,U,B,-,0,0,0,0,,--,,0,,,,Spinal blood patch,เท็จ,
0396,P,U,B,-,0,0,0,0,,--,,0,,,,Percutan facet denervat,เท็จ,
0397,Y,E,B,E,5,51,0,0,,01,08,0,,,,Revise spine theca shunt,จริง,
0398,Y,E,B,-,2,30,0,0,,01,21,0,,,,Remove spine theca shunt,จริง,
0399,Y,E,B,-,4,44,0,0,,01,08,0,,,,Spine canal struc op NEC,จริง,
0401,Y,E,B,-,5,58,0,0,,01,,0,,,,Excision acoustc neuroma,จริง,
0402,Y,E,B,-,3,37,0,0,,01,,0,,,,Trigeminal nerv division,จริง,
0403,Y,E,B,-,3,35,0,0,,01,08,0,,,,Periph nerve div NEC,จริง,
0404,Y,E,B,-,3,33,0,0,,01,"08,21",0,,,,Periph nerve incis NEC,จริง,
0405,Y,E,B,-,3,34,0,0,,01,,0,,,,Gasserian ganglionectomy,จริง,
0406,Y,E,B,-,3,32,0,0,,01,,0,,,,Periph ganglionect NEC,จริง,
0407,Y,N,B,-,3,34,0,0,,01,"03,08",0,,,,Periph nerv excision NEC,จริง,
0411,P,U,B,-,0,0,0,0,,--,,0,,,,Clos periph nerve biopsy,จริง,
0412,Y,E,B,-,2,29,0,0,,01,08,0,,,,Open periph nerve biopsy,จริง,
0419,Y,E,B,-,2,30,0,0,,01,08,0,,,,Periph nerve dx proc NEC,จริง,
042,P,U,B,-,0,0,0,0,,--,,0,,,,Periph nerve destruction,เท็จ,
043,Y,E,B,-,3,33,0,0,,01,21,0,,,,Peripheral nerve suture,จริง,
0441,Y,N,B,-,5,52,0,2,>,01,,0,,,,Decompress trigem root,จริง,
0442,Y,N,B,-,4,44,0,0,,01,03,0,,,,Cranial nerv decom NEC,จริง,
0443,Y,N,B,-,1,16,0,0,,01,08,0,,,,Carpal tunnel release,จริง,
0444,Y,N,B,-,2,30,0,0,,01,08,0,,,,Tarsal tunnel release,จริง,
0449,Y,N,B,-,2,30,0,0,,01,"03,08",0,,,,Per nerve adhesiolys NEC,จริง,
045,Y,E,B,J,4,43,0,0,,01,,0,,,,Peripheral nerve graft,จริง,
046,Y,E,B,J,3,34,0,0,,01,,0,,,,Periph nerve transposit,จริง,
0471,Y,E,B,-,4,47,0,0,,03,01,0,,,,Hypogloss-facial anastom,จริง,
0472,Y,E,B,-,4,48,0,0,,03,01,0,,,,Accessory-facial anastom,จริง,
